Result Number,Entity  ID,Agency,Vendor ID,Recording Technique,Project,Event,Roll,Frame,Acquisition Date,Scale,Strip Number,Image Type,Quality,Cloud Cover,Photo ID,Flying Height in Feet,Film Length and Width,Focal Length,Stereo Overlap,Other,Center Latitude,Center Longitude,NW Corner Lat ,NW Corner Long,NE Corner lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
1,AR5780026677908,5,,2,78000,,002667,7908,1978/08/26,64166,0000,13,8,1,5780026677908,65003,229mm x 229mm,304.68 mm,5,,61°35'11.32"N,154°38'53.28"W,61°38'56.27"N,154°47'17.45"W,61°38'48.42"N,154°31'55.09"W,61°31'27.27"N,154°30'31.10"W,61°31'33.19"N,154°45'53.46"W,61.586478,-154.648132,61.648963,-154.78818,61.646783,-154.53197,61.524241,-154.50864,61.525885,-154.76485,AR5780026677908,AR5780026677908,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677908
2,AR5780026677844,5,,2,78000,,002667,7844,1978/08/26,65000,0000,13,8,1,5780026677844,65003,229mm x 229mm,304.68 mm,6,,61°29'06.08"N,154°46'20.71"W,61°32'51.17"N,154°54'29.99"W,61°32'48.00"N,154°39'00.00"W,61°25'24.00"N,154°38'17.99"W,61°25'20.84"N,154°53'48.01"W,61.485022,-154.77242,61.547548,-154.90833,61.546667,-154.65,61.423333,-154.63833,61.422455,-154.89667,AR5780026677844,AR5780026677844,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677844
3,AR5780026677907,5,,2,78000,,002667,7907,1978/08/26,64166,0000,13,8,1,5780026677907,65003,229mm x 229mm,304.68 mm,5,,61°35'14.59"N,154°46'11.00"W,61°39'00.00"N,154°54'36.00"W,61°38'52.14"N,154°39'11.99"W,61°31'30.07"N,154°37'48.00"W,61°31'36.00"N,154°53'12.01"W,61.587386,-154.769722,61.65,-154.91,61.647816,-154.65333,61.52502,-154.63,61.526667,-154.88667,AR5780026677907,AR5780026677907,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677907
4,AR5780026677843,5,,2,78000,,002667,7843,1978/08/26,65000,0000,13,8,1,5780026677843,65003,229mm x 229mm,304.68 mm,6,,61°29'06.06"N,154°53'14.72"W,61°32'52.58"N,155°01'22.51"W,61°32'49.40"N,154°45'49.50"W,61°25'22.59"N,154°45'13.50"W,61°25'19.41"N,155°00'46.51"W,61.485016,-154.887421,61.547939,-155.02292,61.547055,-154.76375,61.422941,-154.75375,61.422059,-155.01292,AR5780026677843,AR5780026677843,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677843
5,AR5780026677906,5,,2,78000,,002667,7906,1978/08/26,64000,0000,13,8,2,5780026677906,65003,229mm x 229mm,304.68 mm,0,,61°35'12.72"N,154°52'52.55"W,61°38'48.00"N,155°00'36.00"W,61°38'54.00"N,154°45'30.00"W,61°31'36.00"N,154°45'06.00"W,61°31'30.00"N,155°00'18.00"W,61.586867,-154.881265,61.646667,-155.01,61.648333,-154.758333,61.526667,-154.751667,61.525,-155.005,AR5780026677906,AR5780026677906,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677906
6,AR5780026677842,5,,2,78000,,002667,7842,1978/08/26,65000,0000,13,8,1,5780026677842,65003,229mm x 229mm,304.68 mm,6,,61°29'06.06"N,155°00'08.70"W,61°32'54.00"N,155°08'17.99"W,61°32'50.81"N,154°52'41.99"W,61°25'21.18"N,154°52'05.99"W,61°25'18.00"N,155°07'41.99"W,61.485016,-155.002416,61.548333,-155.13833,61.547446,-154.87833,61.422551,-154.86833,61.421667,-155.12833,AR5780026677842,AR5780026677842,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677842
7,AR5780026677839,5,,2,78000,,002667,7839,1978/08/26,65000,0000,13,8,1,5780026677839,65003,229mm x 229mm,304.68 mm,5,,61°17'58.75"N,154°52'32.68"W,61°21'42.00"N,155°00'18.00"W,61°21'48.32"N,154°44'35.99"W,61°14'18.69"N,154°44'53.99"W,61°14'06.00"N,155°00'36.00"W,61.299654,-154.875745,61.361667,-155.005,61.363423,-154.74333,61.238524,-154.74833,61.235,-155.01,AR5780026677839,AR5780026677839,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677839
8,AR5780026677840,5,,2,78000,,002667,7840,1978/08/26,65500,0000,13,8,1,5780026677840,65003,229mm x 229mm,304.68 mm,6,,61°17'55.07"N,154°59'39.75"W,61°21'40.37"N,155°07'12.00"W,61°21'36.00"N,154°51'54.00"W,61°14'12.00"N,154°52'12.00"W,61°14'12.00"N,155°07'30.00"W,61.29863,-154.994375,61.361215,-155.12,61.36,-154.865,61.236667,-154.87,61.236667,-155.125,AR5780026677840,AR5780026677840,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677840
9,AR5780026677841,5,,2,78000,,002667,7841,1978/08/26,65500,0000,13,8,1,5780026677841,65003,229mm x 229mm,304.68 mm,6,,61°17'55.90"N,155°05'09.73"W,61°21'42.00"N,155°12'54.00"W,61°21'37.60"N,154°57'29.99"W,61°14'12.00"N,154°57'29.99"W,61°14'12.00"N,155°12'54.00"W,61.29886,-155.086035,61.361667,-155.215,61.360445,-154.95833,61.236667,-154.95833,61.236667,-155.215,AR5780026677841,AR5780026677841,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677841
10,AR5780026677510,5,,2,78000,,002667,7510,1978/08/26,65857,0000,13,8,0,5780026677510,65003,229mm x 229mm,304.68 mm,5,,60°25'27.80"N,156°00'54.02"W,60°29'24.00"N,156°08'17.99"W,60°29'01.63"N,155°53'12.01"W,60°21'31.59"N,155°53'30.01"W,60°21'54.00"N,156°08'35.99"W,60.42439,-156.015006,60.49,-156.13833,60.483786,-155.88667,60.358775,-155.89167,60.365,-156.14333,AR5780026677510,AR5780026677510,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677510
